Study,Study_ID,BrainBankNetworkID,Brain region,Sample_Name,data_type,Enrichment
TREM2,IGFQ001167,BBN_9796,SSC,BBN_9796_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32261,MTG,BBN003_32261_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32184,MTG,BBN003_32184_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_24610,MTG,BBN_24610_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_14795,MTG,BBN_14795_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_10611,MTG,BBN_10611_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_21005,MTG,BBN_21005_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_18399,MTG,BBN_18399_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_21792,MTG,BBN_21792_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN002.30035,MTG,BBN002_30035_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN002.30127,MTG,BBN002_30127_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_18813,MTG,BBN_18813_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN002.26094,MTG,BBN002_26094_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_9984,MTG,BBN_9984_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_24370,MTG,BBN_24370_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN002.29089,MTG,BBN002_29089_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_13802,MTG,BBN_13802_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN002.29170,MTG,BBN002_29170_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_24578,MTG,BBN_24578_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_10099,MTG,BBN_10099_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_10109,MTG,BBN_10109_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001346,BBN003.32261,SSC,BBN003_32261_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN_13802,MTG,BBN_13802_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN003.32261,MTG,BBN003_32261_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN_9779,MTG,BBN_9779_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN003.32209,EC,BBN003_32209_EC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN003.32184,EC,BBN003_32184_EC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN_7540,MTG,BBN_7540_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN005.29520,MTG,BBN005_29520_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN003.32181,MTG,BBN003_32181_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN003.32209,MTG,BBN003_32209_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN003.32211,MTG,BBN003_32211_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN_4575,MTG,BBN_4575_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN_9786,SSC,BBN_9786_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN_11804,MTG,BBN_11804_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN_24610,SSC,BBN_24610_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN_9953,MTG,BBN_9953_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN_9727,SSC,BBN_9727_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN_9796,SSC,BBN_9796_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN003.32211,SSC,BBN003_32211_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN003.32247,MTG,BBN003_32247_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN003.32194,SSC,BBN003_32194_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN_15201,SSC,BBN_15201_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN_14795,SSC,BBN_14795_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN003.32184,SSC,BBN003_32184_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN003.32247,SSC,BBN003_32247_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346, BBN_15230,MTG,BBN_15230_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346, BBN_11097,MTG,BBN_11097_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001346,BBN003.32181,SSC,BBN003_32181_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001404,BBN003.34161,SSC,BBN003_34161_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.28342,SSC,BBN003_28342_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.26333,SSC,BBN003_26333_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_12556,MTG,BBN_12556_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.26332,EC,BBN003_26332_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_4575,EC,BBN_4575_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_19214,SSC,BBN_19214_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_19191,SSC,BBN_19191_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7333,EC,BBN_7333_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7403,EC,BBN_7403_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.35446,EC,BBN003_35446_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7404,SSC,BBN_7404_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_14157,EC,BBN_14157_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32295,EC,BBN003_32295_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404, BBN004.28979,MTG,BBN004_28979_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32227,EC,BBN003_32227_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_2414,MTG,BBN_2414_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32196,EC,BBN003_32196_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7545,MTG,BBN_7545_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7403,MTG,BBN_7403_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_14801,SSC,BBN_14801_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_12407,MTG,BBN_12407_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_14157,MTG,BBN_14157_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7519,EC,BBN_7519_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_2625,SSC,BBN_2625_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_14801,EC,BBN_14801_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7333,MTG,BBN_7333_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_19214,EC,BBN_19214_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.28342,MTG,BBN003_28342_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32295,MTG,BBN003_32295_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9727,EC,BBN_9727_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32185,SSC,BBN003_32185_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_18791,MTG,BBN_18791_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32261,EC,BBN003_32261_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32849,EC,BBN003_32849_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.34161,EC,BBN003_34161_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_4250,SSC,BBN_4250_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9980,MTG,BBN_9980_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_14801,MTG,BBN_14801_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_14157,SSC,BBN_14157_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.35390,EC,BBN003_35390_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_24308,MTG,BBN_24308_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.26332,SSC,BBN003_26332_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7545,EC,BBN_7545_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_24279,EC,BBN_24279_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7545,SSC,BBN_7545_SSC_S1,bulkRNAseq,N/A
