,Sample_ID,Sample_Name,I7_Index_ID,Brain region,RNAseq/ATACseq,Enrichment,Sample_Name_original,Sample_Name_normalized
80,IGF108731,MS510_1,SI-GA-F9,,,,MS510_1,MS510
84,IGF108732,MS538_1,SI-GA-G2,,,,MS538_1,MS538
88,IGF108733,MS491_1,SI-GA-F12,,,,MS491_1,MS491
92,IGF108734,C51_1,SI-GA-G1,,,,C51_1,C51
96,IGF108735,PDC05_1,SI-GA-E1,,,,PDC05_1,PDC05
100,IGF108736,PDC22_1,SI-GA-E5,,,,PDC22_1,PDC22
0,IGF109707,MS402,i706,,,,MS402,MS402
1,IGF109708,MS407,i706,,,,MS407,MS407
2,IGF109709,MS422,i706,,,,MS422,MS422
3,IGF109710,MS426,i706,,,,MS426,MS426
4,IGF109711,MS542,i706,,,,MS542,MS542
5,IGF109712,MS405,i706,,,,MS405,MS405
6,IGF109713,MS523,i706,,,,MS523,MS523
7,IGF109714,MS510,i706,,,,MS510,MS510
8,IGF109715,MS538,i707,,,,MS538,MS538
9,IGF109716,MS491,i707,,,,MS491,MS491
10,IGF109717,C51,i707,,,,C51,C51
11,IGF109718,MS527,710,,,,MS527,MS527
12,IGF109719,MS411,710,,,,MS411,MS411
13,IGF109720,MS513,710,,,,MS513,MS513
14,IGF109721,MS586,710,,,,MS586,MS586
15,IGF109722,MS558,710,,,,MS558,MS558
16,IGF109723,MS461,711,,,,MS461,MS461
17,IGF109724,MS430,711,,,,MS430,MS430
18,IGF109725,C36,711,,,,C36,C36
19,IGF109726,C48,711,,,,C48,C48
20,IGF109727,C54,712,,,,C54,C54
21,IGF109728,PDC40,711,,,,PDC40,PDC40
0,IGF105566,NeuN-positive_1,SI-GA-B1,,,,NeuN-positive_1,NeuN_positive
4,IGF105567,NeuN-negative_1,SI-GA-B2,,,,NeuN-negative_1,NeuN_negative
8,IGF105568,NeuN-all_1,SI-GA-B3,,,,NeuN-all_1,NeuN_all
0,IGF109921,06-Apr,,,,,06-Apr,06_Apr
1,IGF109922,07-Apr,,,,,07-Apr,07_Apr
2,IGF109923,19-0,,,,,19-0,19
3,IGF109924,19-Aug,,,,,19-Aug,19_Aug
4,IGF109925,21-Jun,,,,,21-Jun,21_Jun
5,IGF109926,21-Aug,,,,,21-Aug,21_Aug
6,IGF109927,30-0,,,,,30-0,30
7,IGF109928,30-Sep,,,,,30-Sep,30_Sep
8,IGF109929,May-45,,,,,May-45,May_45
9,IGF109930,Jul-45,,,,,Jul-45,Jul_45
10,IGF109931,Mar-47,,,,,Mar-47,Mar_47
11,IGF109932,May-47,,,,,May-47,May_47
0,IGF107252,MS527,710,,,,MS527,MS527
1,IGF107253,MS411,710,,,,MS411,MS411
2,IGF107254,MS513,710,,,,MS513,MS513
3,IGF107255,MS586,710,,,,MS586,MS586
4,IGF107259,MS558,710,,,,MS558,MS558
5,IGF107260,MS461,711,,,,MS461,MS461
6,IGF107261,MS430,711,,,,MS430,MS430
7,IGF107262,C36,711,,,,C36,C36
8,IGF107263,C48,711,,,,C48,C48
9,IGF107264,C54,712,,,,C54,C54
10,IGF107266,PDC40,711,,,,PDC40,PDC40
11,IGF107267,PD040,711,,,,PD040,PD040
12,IGF107269,PD658,712,,,,PD658,PD658
13,IGF107270,PD738,712,,,,PD738,PD738
14,IGF107271,PD855,712,,,,PD855,PD855
0,IGF105930,PD1085Microglia,i708,,,,PD1085Microglia,PD1085Microglia
1,IGF105931,PD1086Microglia,i708,,,,PD1086Microglia,PD1086Microglia
0,IGF105267,CellsVeh_1,SI-GA-A9,,,,CellsVeh_1,CellsVeh
4,IGF105268,CellsLPS_1,SI-GA-A10,,,,CellsLPS_1,CellsLPS
8,IGF105269,NucVeh_1,SI-GA-A11,,,,NucVeh_1,NucVeh
12,IGF105270,NucLPS_1,SI-GA-A12,,,,NucLPS_1,NucLPS
0,IGF109215,PD332_1,SI-GA-E2,,,,PD332_1,PD332
4,IGF109216,PD566_1,SI-GA-E8,,,,PD566_1,PD566
8,IGF109217,PD706_1,SI-GA-E12,,,,PD706_1,PD706
12,IGF109218,PD060_1,SI-GA-G8,,,,PD060_1,PD060
16,IGF109219,PD163_1,SI-GA-H3,,,,PD163_1,PD163
20,IGF109220,PD115_1,SI-GA-G11,,,,PD115_1,PD115
24,IGF109221,PD294_1,SI-GA-G12,,,,PD294_1,PD294
28,IGF109222,PD341_1,SI-GA-E3,,,,PD341_1,PD341
32,IGF109223,PD366_1,SI-GA-E6,,,,PD366_1,PD366
36,IGF109224,PD415_1,SI-GA-F1,,,,PD415_1,PD415
40,IGF109225,PD563_1,SI-GA-E11,,,,PD563_1,PD563
44,IGF109226,PD678_1,SI-GA-G10,,,,PD678_1,PD678
48,IGF109227,PD501_1,SI-GA-H4,,,,PD501_1,PD501
52,IGF109228,PD531_1,SI-GA-H1,,,,PD531_1,PD531
56,IGF109229,PD732_1,SI-GA-E4,,,,PD732_1,PD732
60,IGF109230,PD413_1,SI-GA-E10,,,,PD413_1,PD413
64,IGF109231,PD416_1,SI-GA-E7,,,,PD416_1,PD416
68,IGF109232,PD523_1,SI-GA-F2,,,,PD523_1,PD523
72,IGF109233,PD747_1,SI-GA-F3,,,,PD747_1,PD747
76,IGF109234,PD666_1,SI-GA-G9,,,,PD666_1,PD666
80,IGF109235,PD683_1,SI-GA-H5,,,,PD683_1,PD683
84,IGF109236,PDC05_1,SI-GA-E1,,,,PDC05_1,PDC05
88,IGF109237,PDC22_1,SI-GA-E5,,,,PDC22_1,PDC22
92,IGF109238,PDC34_1,SI-GA-E9,,,,PDC34_1,PDC34
96,IGF109239,PDC87_1,SI-GA-F4,,,,PDC87_1,PDC87
100,IGF109240,PDC91_1,SI-GA-H2,,,,PDC91_1,PDC91
104,IGF109241,C36_1,SI-GA-B12,,,,C36_1,C36
108,IGF109242,C48_1,SI-GA-B7,,,,C48_1,C48
0,IGF124263,BBN006-30165-FC,S712,PFC,,,BBN006-30165-FC,BBN006_30165
1,IGF124266,BBN006-34151-MTEMP,S775,MTEMP,,,BBN006-34151-MTEMP,BBN006_34151
2,IGF124268,BBN002-35951-FC,S706,PFC,,,BBN002-35951-FC,BBN002_35951
3,IGF124271,BBN002-26278-MTEMP,S791,MTEMP,,,BBN002-26278-MTEMP,BBN002_26278
4,IGF124272,BBN001-35182-MTEMP,S726,MTEMP,,,BBN001-35182-MTEMP,BBN001_35182
5,IGF124273,BBN006-30889-FC,S767,PFC,,,BBN006-30889-FC,BBN006_30889
6,IGF124274,BBN006-35453-MTEMP,S738,MTEMP,,,BBN006-35453-MTEMP,BBN006_35453
7,IGF124275,S15-016-ITG,S766,ITG,,,S15-016-ITG,S15_016
8,IGF124276,BBN-20618-FC,S711,PFC,,,BBN-20618-FC,BBN_20618
9,IGF124277,BBN006-30165-MTEMP,S759,MTEMP,,,BBN006-30165-MTEMP,BBN006_30165
10,IGF124279,BBN002-36130-MTEMP,S784,MTEMP,,,BBN002-36130-MTEMP,BBN002_36130
1,IGF124264,BBN-20618-MTEMP,S786,MTEMP,,,BBN-20618-MTEMP,BBN_20618
2,IGF124265,BBN006-30889-MTEMP,S743,MTEMP,,,BBN006-30889-MTEMP,BBN006_30889
4,IGF124267,BBN006-35513-MTEMP,S750,MTEMP,,,BBN006-35513-MTEMP,BBN006_35513
6,IGF124269,BBN002-36130-FC,S724,PFC,,,BBN002-36130-FC,BBN002_36130
7,IGF124270,BBN-9984-MTEMP,S790,MTEMP,,,BBN-9984-MTEMP,BBN_9984
15,IGF124278,BBN002-35951-MTEMP,S721,MTEMP,,,BBN002-35951-MTEMP,BBN002_35951
0,IGF123493,BBN-20618-MTEMP,S762,MTEMP,,,BBN-20618-MTEMP,BBN_20618
1,IGF123494,S17-109-ITG,S713,ITG,,,S17-109-ITG,S17_109
2,IGF123495,S15-016-ITG,S736,ITG,,,S15-016-ITG,S15_016
3,IGF123496,BBN002-36130-FC,S709,PFC,,,BBN002-36130-FC,BBN002_36130
4,IGF123497,BBN-9984-FC,S732,PFC,,,BBN-9984-FC,BBN_9984
5,IGF123498,BBN-18407-MTEMP,S774,MTEMP,,,BBN-18407-MTEMP,BBN_18407
6,IGF123499,S17-016-ITG,S747,ITG,,,S17-016-ITG,S17_016
7,IGF123500,BBN002-32628-MTEMP,S794,MTEMP,,,BBN002-32628-MTEMP,BBN002_32628
8,IGF123501,BBN002-35951-FC,S729,PFC,,,BBN002-35951-FC,BBN002_35951
9,IGF123502,BBN-22612-FC,S777,PFC,,,BBN-22612-FC,BBN_22612
10,IGF123503,BBN002-32844-FC,S772,PFC,,,BBN002-32844-FC,BBN002_32844
11,IGF123504,BBN006-36102-MTEMP,S725,MTEMP,,,BBN006-36102-MTEMP,BBN006_36102
12,IGF123505,BBN-9984-MTEMP,S755,MTEMP,,,BBN-9984-MTEMP,BBN_9984
13,IGF123506,S17-093-ITG,S760,ITG,,,S17-093-ITG,S17_093
14,IGF123507,BBN002-28858-FC,S716,PFC,,,BBN002-28858-FC,BBN002_28858
15,IGF123508,BBN001-35182-MTEMP,S708,MTEMP,,,BBN001-35182-MTEMP,BBN001_35182
16,IGF123509,BBN-22612-MTEMP,S702,MTEMP,,,BBN-22612-MTEMP,BBN_22612
17,IGF123510,BBN-9980-MTEMP,S796,MTEMP,,,BBN-9980-MTEMP,BBN_9980
