synapse_file_id  filename
syn53058192  BBN005_29520_MTG_S1_L001_R2_001.fastq.gz
syn53058193  BBN005_29520_SSC_S1_L001_R1_001.fastq.gz
syn53056888  BBN005_29520_SSC_S1_L001_R2_001.fastq.gz
syn53056394  BBN_10099_MTG_S1_L001_R1_001.fastq.gz
syn53056897  BBN_10099_MTG_S1_L001_R2_001.fastq.gz
syn53055632  BBN_10099_SSC_S1_L001_R1_001.fastq.gz
syn53058211  BBN_10099_SSC_S1_L001_R2_001.fastq.gz
syn53056410  BBN_10109_MTG_S1_L001_R1_001.fastq.gz
syn53056910  BBN_10109_MTG_S1_L001_R2_001.fastq.gz
syn53056408  BBN_10109_SSC_S1_L001_R1_001.fastq.gz
syn53056907  BBN_10109_SSC_S1_L001_R2_001.fastq.gz
syn52943600  BBN_10611_EC_S1_L001_R1_001.fastq.gz
syn52943599  BBN_10611_EC_S1_L001_R2_001.fastq.gz
syn53122667  BBN_10611_MTG_S1_L001_R1_001.fastq.gz
syn53122862  BBN_10611_MTG_S1_L001_R2_001.fastq.gz
syn53122686  BBN_10611_MTG_S2_L001_R1_001.fastq.gz
syn53122868  BBN_10611_MTG_S2_L001_R2_001.fastq.gz
syn53122684  BBN_10611_SSC_S1_L001_R1_001.fastq.gz
syn53122866  BBN_10611_SSC_S1_L001_R2_001.fastq.gz
syn53122689  BBN_10611_SSC_S2_L001_R1_001.fastq.gz
syn53122871  BBN_10611_SSC_S2_L001_R2_001.fastq.gz
syn53056387  BBN_11449_MTG_S1_L001_R1_001.fastq.gz
syn53056876  BBN_11449_MTG_S1_L001_R2_001.fastq.gz
syn53055619  BBN_11804_MTG_S1_L001_R1_001.fastq.gz
syn53058208  BBN_11804_MTG_S1_L001_R2_001.fastq.gz
syn53122780  BBN_13802_EC_S1_L001_R1_001.fastq.gz
syn53122945  BBN_13802_EC_S1_L001_R2_001.fastq.gz
syn53122784  BBN_13802_EC_S2_L001_R1_001.fastq.gz
syn53129696  BBN_13802_EC_S2_L001_R2_001.fastq.gz
syn53122786  BBN_13802_MTG_S1_L001_R1_001.fastq.gz
syn53122952  BBN_13802_MTG_S1_L001_R2_001.fastq.gz
syn53122791  BBN_13802_MTG_S2_L001_R1_001.fastq.gz
